Date,enterprise boom index,entrepreneur confidence index
2021-12-01,119.2,
2021-09-01,119.2,120.9
2021-06-01,123.8,126
2021-03-01,125.2,127.8
2020-12-01,121.9146,123.4413
2020-09-01,121.1538,122.5376
2020-06-01,109.1173,110.4119
2020-03-01,88.2167,90.8577
2019-12-01,122.8,123.6
2019-09-01,123.4,124.3
2019-06-01,123.2,124.1
2019-03-01,126.6,127.9
2018-12-01,120.2,121.3
2018-09-01,122.7,123.6
2018-06-01,124.5,125.8
2018-03-01,126.6,128
2017-12-01,123.4,123.9
2017-09-01,123.5,123.6
2017-06-01,123.1,123.1
2017-03-01,123.4,123.7
2016-12-01,113.5,113.6
2016-09-01,111.3,111.4
2016-06-01,107.8,108
2016-03-01,107.1,107.9
2015-12-01,112.2,108.9
2015-09-01,115.5,112.1
2015-06-01,118.5,114.5
2015-03-01,124.3,120.6
2014-12-01,118,115.1
2014-09-01,122.3,119
2014-06-01,125.2,121.4
2014-03-01,,124.3
2013-12-01,119.5,117.1
2013-09-01,121.5,119.5
2013-06-01,120.6,117
2013-03-01,125.6,122.4
2012-12-01,124.4,120.4
2012-09-01,122.8,116.5
2012-06-01,126.93,121.15
2012-03-01,127.34,123
2011-12-01,128.2,122
2011-09-01,133.4,129.4
2011-06-01,135.6,132.4
2011-03-01,133.8,137.4
2010-12-01,138,137
2010-09-01,137.9,135.9
2010-06-01,135.9,133
2010-03-01,132.9,135.5
2009-12-01,130.6,127.7
2009-09-01,124.4,120.1
2009-06-01,115.9,110.2
2009-03-01,105.6,101.1
2008-12-01,107,94.6
2008-09-01,128.6,123.8
2008-06-01,137.4,134.8
2008-03-01,136.2,140.6
2007-12-01,143.6,139.6
2007-09-01,144.7,143
2007-06-01,146,143.1
2007-03-01,139.7,142
2006-12-01,139.4,135.3
2006-09-01,136.7,132.6
2006-06-01,135.9,132.5
2006-03-01,131.5,133.1
2005-12-01,131.7,125.4
2005-09-01,132,127.6
2005-06-01,131.71,128.5
2005-03-01,132.46,135.85
